;2017;;;2018;;;2019;;;2020;;;2021;;;2022;;;2023;;
Barrio;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km
LUCERO;74;1.41;8.25;55;1.05;6.13;54;1.03;6.02;32;0.61;3.57;31;0.59;3.46;19;0.36;2.12;5;0.10;0.56
ME QUEJO;6;0.13;0.77;9;0.20;1.15;16;0.36;2.05;4;0.09;0.51;2;0.04;0.26;9;0.20;1.15;5;0.11;0.64
MERCEDES SUR;9;1.17;4.40;7;0.91;3.42;10;1.30;4.89;2;0.26;0.98;17;2.22;8.30;2;0.26;0.98;5;0.65;2.44
MIRAMAR;61;0.86;2.90;59;0.83;2.80;51;0.72;2.42;31;0.44;1.47;67;0.94;3.18;61;0.86;2.90;9;0.13;0.43
MODELO;35;1.09;4.41;20;0.63;2.52;47;1.47;5.92;8;0.25;1.01;22;0.69;2.77;36;1.13;4.53;14;0.44;1.76
MONTECRISTO;88;2.12;10.11;64;1.54;7.35;41;0.99;4.71;24;0.58;2.76;53;1.28;6.09;45;1.08;5.17;2;0.05;0.23
MONTES;107;1.74;6.71;129;2.10;8.09;136;2.21;8.53;105;1.71;6.58;201;3.27;12.60;134;2.18;8.40;47;0.76;2.95
NUEVA COLOMBIA;3;0.08;0.38;6;0.16;0.75;5;0.14;0.63;9;0.24;1.13;3;0.08;0.38;7;0.19;0.88;0;0.00;0.00
NUEVA GRANADA;45;1.84;9.39;52;2.13;10.85;37;1.51;7.72;28;1.15;5.84;37;1.51;7.72;20;0.82;4.17;15;0.61;3.13
NUEVO HORIZONTE;76;2.71;17.34;54;1.93;12.32;58;2.07;13.24;30;1.07;6.85;61;2.18;13.92;43;1.53;9.81;8;0.29;1.83
OLAYA;121;1.26;6.90;100;1.04;5.70;123;1.28;7.01;71;0.74;4.05;102;1.07;5.82;87;0.91;4.96;25;0.26;1.43
PALMAS DEL RIO;15;0.66;4.39;4;0.18;1.17;26;1.14;7.61;4;0.18;1.17;3;0.13;0.88;8;0.35;2.34;0;0.00;0.00
PARAISO;135;1.88;9.29;158;2.20;10.87;151;2.10;10.39;69;0.96;4.75;81;1.13;5.57;40;0.56;2.75;12;0.17;0.83
PASADENA;11;0.63;4.90;11;0.63;4.90;7;0.40;3.12;5;0.28;2.23;5;0.28;2.23;5;0.28;2.23;5;0.28;2.23
PASEO DE LA CASTELLANA;161;3.68;10.70;134;3.06;8.90;105;2.40;6.98;65;1.49;4.32;66;1.51;4.38;52;1.19;3.45;16;0.37;1.06
PINAR DEL RIO;2;0.07;0.33;2;0.07;0.33;1;0.03;0.17;5;0.17;0.83;0;0.00;0.00;2;0.07;0.33;0;0.00;0.00
POR FIN;4;0.09;0.41;4;0.09;0.41;5;0.11;0.51;2;0.04;0.21;2;0.04;0.21;13;0.29;1.34;7;0.15;0.72
PRIMERO DE MAYO;10;0.42;1.87;5;0.21;0.93;17;0.71;3.18;2;0.08;0.37;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00
PUERTA DORADA;15;0.30;3.72;2;0.04;0.50;5;0.10;1.24;15;0.30;3.72;0;0.00;0.00;4;0.08;0.99;1;0.02;0.25
PUMAREJO;8;0.46;1.93;18;1.04;4.33;42;2.43;10.11;6;0.35;1.44;31;1.79;7.46;21;1.22;5.06;10;0.58;2.41
REBOLO;109;0.79;3.69;99;0.72;3.35;115;0.84;3.89;74;0.54;2.50;77;0.56;2.60;44;0.32;1.49;25;0.18;0.85
RIOMAR;102;2.43;16.33;97;2.31;15.53;100;2.38;16.01;42;1.00;6.72;51;1.21;8.17;83;1.98;13.29;34;0.81;5.44
SAN FELIPE;83;1.17;4.53;88;1.24;4.80;96;1.35;5.24;53;0.75;2.89;87;1.22;4.75;91;1.28;4.97;22;0.31;1.20
SAN FRANCISCO;24;0.71;2.99;33;0.98;4.11;9;0.27;1.12;20;0.60;2.49;90;2.68;11.21;40;1.19;4.98;16;0.48;1.99
SAN ISIDRO;93;1.90;8.14;83;1.70;7.26;71;1.45;6.21;50;1.02;4.37;78;1.60;6.82;29;0.59;2.54;17;0.35;1.49
SAN JOSE;247;2.67;10.65;184;1.99;7.94;214;2.31;9.23;114;1.23;4.92;181;1.95;7.81;156;1.68;6.73;51;0.55;2.20
SAN LUIS;4;0.14;0.52;29;0.98;3.80;16;0.54;2.10;9;0.30;1.18;10;0.34;1.31;16;0.54;2.10;11;0.37;1.44
SAN MARINO;2;0.38;1.89;3;0.58;2.83;0;0.00;0.00;2;0.38;1.89;0;0.00;0.00;4;0.77;3.77;0;0.00;0.00
SAN NICOLAS;7;0.41;1.72;1;0.06;0.25;2;0.12;0.49;0;0.00;0.00;4;0.24;0.98;2;0.12;0.49;3;0.18;0.74
SAN PEDRO;9;1.49;4.35;8;1.32;3.87;3;0.50;1.45;10;1.65;4.84;6;0.99;2.90;3;0.50;1.45;1;0.17;0.48
SAN PEDRO ALEJANDRINO;59;2.28;7.89;105;4.05;14.04;53;2.04;7.08;41;1.58;5.48;53;2.04;7.08;52;2.01;6.95;13;0.50;1.74
